"layer","level","class","id","metric","value"
1,"class",1,NA,"ai",82.6446280991736
1,"class",2,NA,"ai",99.1271820448878
1,"class",1,NA,"area_cv",133.223016745292
1,"class",2,NA,"area_cv",NA
1,"class",1,NA,"area_mn",0.00345
1,"class",2,NA,"area_mn",0.0831
1,"class",1,NA,"area_sd",0.00459619407771256
1,"class",2,NA,"area_sd",NA
1,"class",1,NA,"ca",0.0069
1,"class",2,NA,"ca",0.0831
1,"class",1,NA,"cai_cv",141.421356237309
1,"class",2,NA,"cai_cv",NA
1,"class",1,NA,"cai_mn",14.9253731343284
1,"class",2,NA,"cai_mn",85.0782190132371
1,"class",1,NA,"cai_sd",21.1076651100462
1,"class",2,NA,"cai_sd",NA
1,"class",1,NA,"circle_cv",37.0465757160222
1,"class",2,NA,"circle_cv",NA
1,"class",1,NA,"circle_mn",0.664873742470651
1,"class",2,NA,"circle_mn",0.412187743513933
1,"class",1,NA,"circle_sd",0.24631295442034
1,"class",2,NA,"circle_sd",NA
1,"class",1,NA,"clumpy",0.812035683384551
1,"class",2,NA,"clumpy",0.886154179767972
1,"class",1,NA,"cohesion",89.9270202330174
1,"class",2,NA,"cohesion",99.8596949320554
1,"class",1,NA,"contig_cv",86.4924816407893
1,"class",2,NA,"contig_cv",NA
1,"class",1,NA,"contig_mn",0.42910447761194
1,"class",2,NA,"contig_mn",0.946048937023666
1,"class",1,NA,"contig_sd",0.371143111518312
1,"class",2,NA,"contig_sd",NA
1,"class",1,NA,"core_cv",141.42135623731
1,"class",2,NA,"core_cv",NA
1,"class",1,NA,"core_mn",0.001
1,"class",2,NA,"core_mn",0.0707
1,"class",1,NA,"core_sd",0.0014142135623731
1,"class",2,NA,"core_sd",NA
1,"class",1,NA,"cpland",2.22222222222222
1,"class",2,NA,"cpland",78.5555555555555
1,"class",1,NA,"dcad",1111.11111111111
1,"class",2,NA,"dcad",1111.11111111111
1,"class",1,NA,"dcore_cv",141.42135623731
1,"class",2,NA,"dcore_cv",NA
1,"class",1,NA,"dcore_mn",0.5
1,"class",2,NA,"dcore_mn",1
1,"class",1,NA,"dcore_sd",0.707106781186548
1,"class",2,NA,"dcore_sd",NA
1,"class",1,NA,"division",0.994453086419753
1,"class",2,NA,"division",0.147455555555556
1,"class",1,NA,"ed",555.555555555556
1,"class",2,NA,"ed",555.555555555556
1,"class",1,NA,"enn_cv",0
